day,weather,high_temp,low_temp,mean_temp
2020-08-08,多云,33℃,25℃,29
2020-08-09,多云,35℃,25℃,30
2020-08-10,多云,34℃,24℃,29
2020-08-11,阵雨,28℃,22℃,25
2020-08-12,大雨,26℃,22℃,24
2020-08-13,小雨,26℃,22℃,24
2020-08-14,小雨,31℃,23℃,27
2020-08-15,小雨,26℃,23℃,24
2020-08-16,小雨,24℃,23℃,23
2020-08-17,大雨,25℃,21℃,23
2020-08-18,小雨,23℃,20℃,21
2020-08-19,中雨,26℃,21℃,23
2020-08-20,阴,26℃,21℃,23
2020-08-21,多云,30℃,22℃,26
2020-08-22,阵雨,27℃,22℃,24
2020-08-23,阵雨,30℃,20℃,25
2020-08-24,阵雨,30℃,20℃,25
2020-08-25,晴,31℃,21℃,26
2020-08-26,晴,32℃,21℃,26
2020-08-27,多云,33℃,23℃,28
2020-08-28,多云,32℃,21℃,26
2020-08-29,阵雨,29℃,22℃,25
2020-08-30,大雨,25℃,20℃,22
2020-08-31,多云,24℃,19℃,21
2020-09-01,阴,27℃,21℃,24
2020-09-02,多云,31℃,20℃,25
2020-09-03,多云,30℃,21℃,25
2020-09-04,多云,28℃,22℃,25
2020-09-05,阵雨,25℃,20℃,22
2020-09-06,晴,32℃,20℃,26
2020-09-07,晴,31℃,22℃,26
2020-09-08,多云,29℃,21℃,25
2020-09-09,阵雨,26℃,21℃,23
2020-09-10,多云,28℃,21℃,24
2020-09-11,阴,26℃,19℃,22
2020-09-12,阵雨,21℃,18℃,19
2020-09-13,阵雨,21℃,18℃,19
2020-09-14,阴,22℃,18℃,20
2020-09-15,阵雨,23℃,18℃,20
2020-09-16,阵雨,21℃,17℃,19
2020-09-17,阵雨,23℃,15℃,19
2020-09-18,多云,24℃,17℃,20
2020-09-19,阴,22℃,17℃,19
2020-09-20,阵雨,20℃,17℃,18
2020-09-21,阵雨,20℃,17℃,18
2020-09-22,阴,23℃,17℃,20
2020-09-23,多云,23℃,17℃,20
2020-09-24,阵雨,21℃,17℃,19
2020-09-25,阵雨,19℃,16℃,17
2020-09-26,阴,20℃,16℃,18
2020-09-27,阵雨,19℃,16℃,17
2020-09-28,阵雨,19℃,16℃,17
2020-09-29,多云,24℃,17℃,20
2020-09-30,多云,22℃,18℃,20
2020-10-01,小雨,21℃,17℃,19
2020-10-02,小雨,21℃,17℃,19
2020-10-03,阴,21℃,16℃,18
2020-10-04,阴,19℃,13℃,16
2020-10-05,阴,16℃,13℃,14
2020-10-06,小雨,15℃,12℃,13
2020-10-07,阴,18℃,14℃,16
2020-10-08,小雨,17℃,14℃,15
2020-10-09,多云,17℃,14℃,15
2020-10-10,多云,18℃,14℃,16
2020-10-11,阴,19℃,15℃,17
2020-10-12,阴,17℃,14℃,15
2020-10-13,小雨,17℃,14℃,15
2020-10-14,阴,15℃,13℃,14
2020-10-15,多云,16℃,12℃,14
2020-10-16,多云,18℃,12℃,15
2020-10-17,多云,15℃,11℃,13
2020-10-18,小雨,16℃,11℃,13
2020-10-19,阴,15℃,12℃,13
2020-10-20,小雨,16℃,12℃,14
2020-10-21,晴,22℃,12℃,17
2020-10-22,晴,22℃,12℃,17
2020-10-23,阴,20℃,13℃,16
2020-10-24,阴,19℃,14℃,16
2020-10-25,多云,19℃,15℃,17
2020-10-26,阴,22℃,15℃,18
2020-10-27,阴,18℃,13℃,15
2020-10-28,多云,18℃,12℃,15
2020-10-29,多云,19℃,13℃,16
2020-10-30,小雨,18℃,13℃,15
2020-10-31,多云,18℃,14℃,16
2020-11-01,阴,20℃,13℃,16
2020-11-02,多云,19℃,12℃,15
2020-11-03,多云,16℃,12℃,14
2020-11-04,小雨,14℃,11℃,12
2020-11-05,阴,14℃,11℃,12
2020-11-06,晴,20℃,12℃,16
2020-11-07,晴,21℃,15℃,18
2020-11-08,多云,20℃,13℃,16
2020-11-09,多云,20℃,14℃,17
2020-11-10,多云,21℃,15℃,18
2020-11-11,多云,20℃,15℃,17
2020-11-12,多云,21℃,15℃,18
2020-11-13,阴,19℃,15℃,17
2020-11-14,多云,19℃,15℃,17
2020-11-15,多云,21℃,15℃,18
2020-11-16,多云,20℃,15℃,17
2020-11-17,多云,20℃,14℃,17
2020-11-18,多云,20℃,12℃,16
2020-11-19,晴,19℃,12℃,15
2020-11-20,阴,17℃,11℃,14
2020-11-21,阴,13℃,7℃,10
2020-11-22,阴,8℃,4℃,6
2020-11-23,多云,9℃,4℃,6
2020-11-24,阴,9℃,5℃,7
2020-11-25,多云,11℃,6℃,8
2020-11-26,阴,12℃,7℃,9
2020-11-27,阴,12℃,7℃,9
2020-11-28,小雨,11℃,7℃,9
2020-11-29,阴,10℃,7℃,8
2020-11-30,小雨,9℃,7℃,8
2020-12-01,小雨,9℃,6℃,7
2020-12-02,小雨,8℃,5℃,6
2020-12-03,小雨,5℃,3℃,4
2020-12-04,小雨,5℃,3℃,4
2020-12-05,阴,7℃,4℃,5
2020-12-06,阴,8℃,5℃,6
2020-12-07,阴,9℃,5℃,7
2020-12-08,多云,8℃,4℃,6
2020-12-09,阴,9℃,5℃,7
2020-12-10,多云,10℃,6℃,8
2020-12-11,阴,10℃,6℃,8
2020-12-12,阴,10℃,7℃,8
2020-12-13,小雨,8℃,3℃,5
2020-12-14,阴,4℃,1℃,2
2020-12-15,小雨,4℃,2℃,3
2020-12-16,小雨,5℃,2℃,3
2020-12-17,小雨,4℃,3℃,3
2020-12-18,多云,8℃,3℃,5
2020-12-19,多云,8℃,1℃,4
2020-12-20,多云,8℃,1℃,4
2020-12-21,多云,8℃,3℃,5
2020-12-22,阴,7℃,4℃,5
2020-12-23,多云,11℃,3℃,7
2020-12-24,多云,10℃,6℃,8
2020-12-25,小雨,8℃,5℃,6
2020-12-26,多云,10℃,4℃,7
2020-12-27,多云,10℃,2℃,6
2020-12-28,多云,9℃,4℃,6
2020-12-29,多云,8℃,1℃,4
2020-12-30,多云,7℃,1℃,4
2020-12-31,多云,7℃,0℃,3
