day,weather,high_temp,low_temp,wind
2020/6/28,阴/多云,31℃,23℃,无持续风向1-2级
2020/6/29,多云/多云,32℃,23℃,无持续风向1-2级
2020/6/30,多云/阴,34℃,23℃,无持续风向1-2级
2020/7/1,暴雨/阵雨,27℃,21℃,无持续风向1-2级
2020/7/2,多云/多云,33℃,22℃,无持续风向1-2级
2020/7/3,多云/阵雨,33℃,22℃,无持续风向1-2级
2020/7/4,阵雨/阴,28℃,22℃,无持续风向1-2级
2020/7/5,阴/阵雨,30℃,22℃,无持续风向1-2级
2020/7/6,阴/阴,30℃,22℃,无持续风向1-2级
2020/7/7,多云/阴,33℃,23℃,无持续风向1-2级
2020/7/8,阵雨/阴,33℃,24℃,无持续风向1-2级
2020/7/9,阵雨/阵雨,33℃,22℃,无持续风向1-2级
2020/7/10,阵雨/阵雨,26℃,21℃,无持续风向1-2级
2020/7/11,阴/阴,29℃,21℃,无持续风向1-2级
2020/7/12,多云/阴,31℃,22℃,无持续风向1-2级
2020/7/13,阵雨/阵雨,30℃,22℃,无持续风向1-2级
2020/7/14,小雨/中雨,31℃,23℃,无持续风向1-2级
2020/7/15,大雨/暴雨,28℃,22℃,无持续风向1-2级
2020/7/16,阵雨/阵雨,28℃,23℃,无持续风向1-2级
2020/7/17,阴/阴,33℃,24℃,无持续风向1-2级
2020/7/18,阵雨/多云,32℃,22℃,无持续风向1-2级
2020/7/19,多云/阴,33℃,22℃,无持续风向1-2级
2020/7/20,阴/阵雨,29℃,19℃,无持续风向1-2级
2020/7/21,阵雨/阵雨,25℃,20℃,无持续风向1-2级
2020/7/22,阵雨/阵雨,29℃,21℃,无持续风向1-2级
2020/7/23,阵雨/阵雨,31℃,22℃,无持续风向1-2级
2020/7/24,中雨/暴雨,30℃,22℃,无持续风向1-2级
2020/7/25,中雨/阵雨,27℃,21℃,无持续风向1-2级
2020/7/26,晴/晴,34℃,21℃,无持续风向1-2级
2020/7/27,晴/晴,33℃,23℃,无持续风向1-2级
2020/7/28,多云/小雨,34℃,24℃,无持续风向1-2级
2020/7/29,大雨/暴雨,28℃,21℃,无持续风向1-2级
2020/7/30,大雨/阵雨,25℃,21℃,无持续风向1-2级
2020/7/31,阵雨/阴,27℃,21℃,无持续风向1-2级
2020/8/1,阴/中雨,29℃,23℃,无持续风向1-2级
