day,weather,high_temp,low_temp,mean_temp
2020/7/23,’Û”Í,31°Ê,22°Ê,26
2020/7/24,÷–”Í,30°Ê,22°Ê,26
2020/7/25,÷–”Í,27°Ê,21°Ê,24
2020/7/26,«Á,34°Ê,21°Ê,27
2020/7/27,«Á,33°Ê,23°Ê,28
2020/7/28,∂‡‘∆,34°Ê,24°Ê,29
2020/7/29,¥Û”Í,28°Ê,21°Ê,24
2020/7/30,¥Û”Í,25°Ê,21°Ê,23
2020/7/31,’Û”Í,27°Ê,21°Ê,24
2020/8/1,“ı,29°Ê,23°Ê,26
2020/8/2,’Û”Í,30°Ê,23°Ê,26
2020/8/3,’Û”Í,32°Ê,23°Ê,27
2020/8/4,’Û”Í,32°Ê,23°Ê,27
2020/8/5,–°”Í,33°Ê,25°Ê,29
2020/8/6,’Û”Í,33°Ê,24°Ê,28
2020/8/7,¥Û”Í,27°Ê,23°Ê,25
2020/8/8,∂‡‘∆,33°Ê,25°Ê,29
2020/8/9,∂‡‘∆,35°Ê,25°Ê,30
2020/8/10,∂‡‘∆,34°Ê,24°Ê,29
2020/8/11,’Û”Í,28°Ê,22°Ê,25
2020/8/12,¥Û”Í,26°Ê,22°Ê,24
2020/8/13,–°”Í,26°Ê,22°Ê,24
2020/8/14,–°”Í,31°Ê,23°Ê,27
2020/8/15,–°”Í,26°Ê,23°Ê,24
2020/8/16,–°”Í,24°Ê,23°Ê,23
2020/8/17,¥Û”Í,25°Ê,21°Ê,23
2020/8/18,–°”Í,23°Ê,20°Ê,21
2020/8/19,÷–”Í,26°Ê,21°Ê,23
2020/8/20,“ı,26°Ê,21°Ê,23
2020/8/21,∂‡‘∆,30°Ê,22°Ê,26
2020/8/22,’Û”Í,27°Ê,22°Ê,24
2020/8/23,’Û”Í,30°Ê,20°Ê,25
2020/8/24,’Û”Í,30°Ê,20°Ê,25
2020/8/25,«Á,31°Ê,21°Ê,26
2020/8/26,«Á,32°Ê,21°Ê,26
2020/8/27,∂‡‘∆,33°Ê,23°Ê,28
2020/8/28,∂‡‘∆,32°Ê,21°Ê,26
2020/8/29,’Û”Í,29°Ê,22°Ê,25
2020/8/30,¥Û”Í,25°Ê,20°Ê,22
2020/8/31,∂‡‘∆,24°Ê,19°Ê,21
2020/9/1,“ı,27°Ê,21°Ê,24
2020/9/2,∂‡‘∆,31°Ê,20°Ê,25
2020/9/3,∂‡‘∆,30°Ê,21°Ê,25
2020/9/4,∂‡‘∆,28°Ê,22°Ê,25
2020/9/5,’Û”Í,25°Ê,20°Ê,22
2020/9/6,«Á,32°Ê,20°Ê,26
2020/9/7,«Á,31°Ê,22°Ê,26
2020/9/8,∂‡‘∆,29°Ê,21°Ê,25
2020/9/9,’Û”Í,26°Ê,21°Ê,23
2020/9/10,∂‡‘∆,28°Ê,21°Ê,24
2020/9/11,“ı,26°Ê,19°Ê,22
2020/9/12,’Û”Í,21°Ê,18°Ê,19
2020/9/13,’Û”Í,21°Ê,18°Ê,19
2020/9/14,“ı,22°Ê,18°Ê,20
2020/9/15,’Û”Í,23°Ê,18°Ê,20
2020/9/16,’Û”Í,21°Ê,17°Ê,19
2020/9/17,’Û”Í,23°Ê,15°Ê,19
2020/9/18,∂‡‘∆,24°Ê,17°Ê,20
2020/9/19,“ı,22°Ê,17°Ê,19
2020/9/20,’Û”Í,20°Ê,17°Ê,18
2020/9/21,’Û”Í,20°Ê,17°Ê,18
2020/9/22,“ı,23°Ê,17°Ê,20
2020/9/23,∂‡‘∆,23°Ê,17°Ê,20
2020/9/24,’Û”Í,21°Ê,17°Ê,19
2020/9/25,’Û”Í,19°Ê,16°Ê,17
2020/9/26,“ı,20°Ê,16°Ê,18
2020/9/27,’Û”Í,19°Ê,16°Ê,17
2020/9/28,’Û”Í,19°Ê,16°Ê,17
2020/9/29,∂‡‘∆,24°Ê,17°Ê,20
2020/9/30,∂‡‘∆,22°Ê,18°Ê,20
2020/10/1,–°”Í,21°Ê,17°Ê,19
2020/10/2,–°”Í,21°Ê,17°Ê,19
